lon,lat,co,nh3,no2,bc,pm25,pm10,so2,oc,voc
109.8801238,23.89349832,229.0599022,0.274170445,26.85915239,1.117733239,13.5930986,19.88756686,19.0642239,1.0472787,94.07229332
110.2318899,23.87200107,995.0058583,0.508371031,264.2857559,1.848861602,85.89797504,147.7920551,157.9815004,1.948961292,232.1747084
110.5834975,23.84943524,1230.138774,1.599185472,296.8224996,3.006938174,110.830422,175.8764778,192.6823023,2.986270263,518.7772364
110.934939,23.82580176,90.27677756,0.103535046,6.326163471,0.506002954,4.50567907,6.310412295,5.503262248,0.470517672,34.23713015
111.2862069,23.80110158,225.472667,0.127255249,9.430909763,1.354521743,8.324877571,12.38848197,8.430652733,1.26247304,51.16701324
111.6372936,23.77533571,122.890444,0.054089575,6.333797216,0.732431883,4.625037366,6.872792667,5.403311512,0.674560306,35.86775651
111.9881917,23.74850521,78.4277467,0.000936728,10.36811756,0.396364972,4.03903585,5.75817611,8.443436642,0.332860426,63.75779143
112.3388936,23.72061115,112.826982,0,17.93787804,0.517055825,6.531472025,9.184526255,14.86466149,0.419102189,109.7906872
112.6893919,23.69165468,484.2900028,0,58.00829345,2.576103959,23.87423315,35.07007119,43.78591888,2.198245272,276.0724836
113.0396792,23.66163698,1596.561841,0,292.3967628,7.915246229,302.81554,529.8172478,172.2214717,7.651123797,931.4497129
113.389748,23.63055926,1535.70817,0,228.5979771,7.973547175,170.7128457,284.9849144,158.2114069,7.136755445,936.4096377
113.739591,23.5984228,912.3562073,0,86.13107369,5.428250583,38.13669442,55.7401221,63.78311524,4.706946405,374.7456926
114.0892008,23.56522889,470.6959848,0,84.00557134,1.572290789,35.74180315,59.43737322,44.43999786,1.403403856,209.46958
114.4385701,23.53097889,636.7974651,0,131.7448057,1.781125666,53.22905856,92.06764646,53.06426991,1.673210554,202.7843945
114.7876916,23.4956742,200.9899036,0,18.7496716,1.192726826,8.376151147,12.25736361,14.01272453,1.033648795,88.13532643
115.1365581,23.45931624,47.14240999,0,3.153223941,0.308072058,1.646870718,2.471397602,2.050699076,0.272367067,13.77321012
115.4851624,23.42190651,63.88191397,0,4.601827355,0.409482043,2.317581403,3.45870113,3.116731114,0.36064552,27.43231003
115.8334971,23.38344651,172.5826357,0,16.37520178,1.01074334,7.290550735,10.65847237,12.46633122,0.873387453,98.51716244
116.1815553,23.34393781,767.4265876,0,107.8330421,3.81739422,40.89220096,58.01039923,87.52223967,3.168194456,601.1968116
116.5293297,23.30338203,926.2595721,0,124.1866082,4.707903563,47.97065983,68.30089118,100.5060123,3.930035894,682.1011518
