FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
38,38.5,0.5,0.027909016,6.0304455e-06,0.0054146303,2.8906505e-05,0.0008005394,0.6773334,23.069841,5.4268927e-05,0.21241854,5.782849e-09,2.4787856e-15,0.008692882,0.117687345,0.75731766,0.031553734,0.07939657,0.11034968,2.30475
39,39.5,0.5,0.026677746,5.3140748e-06,0.0051537696,2.6542897e-05,0.0007517452,0.6770402,22.797113,5.3661137e-05,0.21207954,8.4197327e-10,3.9671002e-16,0.008833615,0.11824986,0.75466233,0.031117652,0.07897958,0.10930627,2.2872078
40,40.5,0.5,0.02627026,5.150715e-06,0.0052481126,2.7068241e-05,0.00076727103,0.69057846,22.762817,5.356798e-05,0.21551895,2.7301392e-10,7.736375e-17,0.00937378,0.121937074,0.75973004,0.031148873,0.078906305,0.10931053,2.2927508
41,41.5,0.5,0.026104838,5.5198643e-06,0.0055504492,2.8659608e-05,0.0008030681,0.70821565,22.98415,5.387585e-05,0.2201419,3.0295236e-10,7.7962e-17,0.010046516,0.1264243,0.7696412,0.03144483,0.07890287,0.110064425,2.315089
42,42.5,0.5,0.02543398,6.356128e-06,0.0059087453,2.9740004e-05,0.0008085862,0.7218737,23.16989,5.3744356e-05,0.22445452,6.0091326e-10,8.012787e-17,0.010774542,0.12948541,0.7778776,0.031337302,0.07847339,0.11047624,2.3279862
43,43.5,0.5,0.024872025,7.936537e-06,0.0063693086,3.0320805e-05,0.00077589776,0.7414643,23.305862,5.303081e-05,0.22955768,1.2095172e-09,9.635758e-17,0.011887189,0.13068132,0.7884013,0.031203935,0.07770909,0.110590085,2.3390403
44,44.5,0.5,0.024202341,8.418743e-06,0.0064062052,3.1148145e-05,0.00074269896,0.74410987,23.037605,5.1914503e-05,0.23270682,1.3229705e-09,9.951452e-17,0.012548132,0.13047588,0.7913451,0.030879527,0.07668217,0.11006664,2.331687
45,45.5,0.5,0.02397234,6.6884077e-06,0.0057703145,3.2754062e-05,0.00074560515,0.7347625,22.591969,5.081029e-05,0.2320137,3.90671e-10,4.6293236e-17,0.012186493,0.129918,0.7557582,0.029961428,0.07292968,0.10421848,2.2234216
46,46.5,0.5,0.015836908,2.9713065e-06,0.0057573267,0.0002767397,0.0013025983,0.46068233,18.3061,4.7204627e-05,0.21521373,2.7720912e-09,3.085437e-15,0.011972947,0.092747256,0.7303063,0.027397929,0.06917209,0.09743642,2.126066
47,47.5,0.5,0.015381694,1.7794282e-06,0.006532125,0.0005412737,0.0017354246,0.40904635,15.970892,4.344191e-05,0.20714355,1.2858428e-08,1.24621425e-14,0.011969406,0.0846663,0.7214687,0.024057455,0.06960322,0.09536841,2.0668347
48,48.5,0.5,0.020541953,4.904843e-06,0.009555909,0.0005543149,0.0020466603,0.5400038,17.735939,4.049008e-05,0.24281651,5.1502905e-08,3.5985724e-14,0.014386874,0.11635599,0.7483848,0.027560594,0.06760079,0.09888697,2.1738312
49,49.5,0.5,0.021779431,7.752265e-06,0.012045218,0.0010152897,0.0021926588,0.5734818,18.41282,4.0316503e-05,0.26292026,1.6938613e-07,6.660714e-14,0.016550906,0.12797989,0.7748696,0.029472087,0.065232545,0.101290375,2.255758
50,50.5,0.5,0.02229254,1.538494e-05,0.014657316,0.0014375492,0.0023422283,0.63303804,19.745943,4.134779e-05,0.28876773,2.4905344e-07,7.338977e-14,0.019971937,0.13514906,0.85625494,0.033047777,0.067081,0.1106581,2.5007098
51,51.5,0.5,0.018195294,1.0016613e-05,0.014052039,0.002403596,0.0024448526,0.52323747,18.662748,4.4937162e-05,0.2691747,3.8369515e-07,8.425017e-14,0.020799328,0.11148593,0.833274,0.028364433,0.05984959,0.103798844,2.381628
52,52.5,0.5,0.020786293,1.4107053e-05,0.01773823,0.0019921944,0.002454706,0.61342865,20.321577,4.510774e-05,0.29287073,6.867588e-07,1.2219296e-13,0.02571202,0.13122056,0.8584653,0.03074189,0.05393555,0.10285932,2.4675775
