sheng,cost,cost2,cost3,a,b,species
SD,11.98402768,23.01612213,34.04821658,11.03209445,11.98402768,VOC
SH,5.472703545,10.51069111,15.54867868,5.037987565,5.472703545,NH3
SH,9.902879449,19.01913855,28.13539765,9.116259101,9.902879449,NOx
SH,4.02584578,7.731904549,11.43796332,3.706058769,4.02584578,PPM2.5
SH,7.24786813,13.92001275,20.59215737,6.67214462,7.24786813,SO2
SH,9.344870345,17.94744495,26.55001956,8.602574605,9.344870345,VOC
SI,2.908424062,5.585821828,8.263219594,2.677397766,2.908424062,NH3
SI,7.888101914,15.1496243,22.41114669,7.261522386,7.888101914,NOx
SI,5.60275794,10.76046922,15.9181805,5.15771128,5.60275794,PPM2.5
SI,5.829207944,11.19538151,16.56155508,5.366173566,5.829207944,SO2
SI,10.3765347,19.92882496,29.48111522,9.55229026,10.3765347,VOC
SX,3.858671342,7.410834924,10.96299851,3.552163582,3.858671342,NH3
SX,8.209813068,15.76749197,23.32517087,7.557678902,8.209813068,NOx
SX,3.167436433,6.083272312,8.999108191,2.915835879,3.167436433,PPM2.5
SX,5.982525344,11.48983778,16.99715022,5.507312436,5.982525344,SO2
SX,8.37766101,16.08985511,23.80204921,7.7121941,8.37766101,VOC
TJ,4.609715684,8.853265529,13.09681537,4.243549845,4.609715684,NH3
TJ,10.05138013,19.30434397,28.55730781,9.25296384,10.05138013,NOx
TJ,4.250416769,8.163208068,12.07599937,3.912791299,4.250416769,PPM2.5
TJ,6.415565772,12.32152072,18.22747567,5.905954948,6.415565772,SO2
TJ,11.58669355,22.2530155,32.91933745,10.66632195,11.58669355,VOC
XJ,2.381676613,4.574168323,6.766660033,2.19249171,2.381676613,NH3
XJ,5.834135222,11.20484468,16.57555414,5.370709458,5.834135222,NOx
XJ,4.780956595,9.182145087,13.58333358,4.401188492,4.780956595,PPM2.5
XJ,5.185463531,9.959027558,14.73259159,4.773564027,5.185463531,SO2
XJ,10.64454039,20.4435477,30.24255501,9.79900731,10.64454039,VOC
XZ,3.502979369,6.727704834,9.952430299,3.224725465,3.502979369,NH3
XZ,13.74316693,26.39466604,39.04616515,12.65149911,13.74316693,NOx
XZ,10.41352108,19.99985977,29.58619846,9.58633869,10.41352108,PPM2.5
XZ,0.343459582,0.659636968,0.975814354,0.316177386,0.343459582,SO2
XZ,21.25008978,40.81221061,60.37433144,19.56212083,21.25008978,VOC
YN,4.196438454,8.059539124,11.92263979,3.86310067,4.196438454,NH3
YN,8.565597917,16.45080043,24.33600294,7.885202513,8.565597917,NOx
YN,6.24031226,11.98493469,17.72955712,5.74462243,6.24031226,PPM2.5
YN,4.221290949,8.107269993,11.99324904,3.885979044,4.221290949,SO2
YN,13.08398688,25.12866692,37.17334696,12.04468004,13.08398688,VOC
ZJ,4.683156047,8.994312629,13.30546921,4.311156582,4.683156047,NH3
ZJ,9.543637438,18.32919037,27.1147433,8.785552932,9.543637438,NOx
ZJ,6.61759504,12.70953136,18.80146768,6.09193632,6.61759504,PPM2.5
ZJ,4.725194357,9.075049999,13.42490564,4.349855642,4.725194357,SO2
ZJ,10.90628206,20.94623999,30.98619792,10.03995793,10.90628206,VOC
